ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q5,time_1,time_2,time_3,time_4,f1,comp1,f2,comp2,f3,comp3,f4,comp4,f5,inco5,f6,inco6,f7,inco7,f8,inco8,f1,comp9,f2,comp10,f3,comp11,f4,comp12,f5,inco13,f6,inco14,f7,inco15,f8,inco16,f1,inco1,f2,inco2,f3,inco3,f4,inco4,f5,comp5,f6,comp6,f7,comp7,f8,comp8,f1,inco9,f2,inco10,f3,inco11,f4,inco12,f5,comp13,f6,comp14,f7,comp15,f8,comp16,sex,age,DO-BR-FL_45,DO-BL-Sentences1,DO-BL-Sentences2,LocationLatitude,LocationLongitude,LocationAccuracy
R_eFeZYhZI5ZOELtz,Default Response Set,Anonymous,,,66.227.150.173,0,29/02/16 15:31,29/02/16 15:34,1,37608,A2YJQUHFIXNOY0,1,0,0,7.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,5,1,5,1,5,1,6,1,5,1,4,1,2,1,3,1,4,1,6,1,2,1,5,1,4,2,28,Sentences2,,f1|inco4|f2|comp13|f3|comp16|f4|comp5|f5|comp7|f6|inco11|f7|inco12|f8|inco10|f1|comp15|f2|inco9|f3|comp14|f4|comp8|f5|inco1|f6|inco2|f7|comp6|f8|inco3,42.85339355,-83.29560089,-1
R_784Vr4vcWfPWRPT,Default Response Set,Anonymous,,,24.160.46.70,0,29/02/16 15:31,29/02/16 15:35,1,98954,AUA0HE293PM30,1,5.383,8.886,30.817,3,1,6,1,4,1,6,1,6,1,3,1,3,1,4,1,3,1,6,1,6,1,5,1,6,1,4,1,3,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,Sentences1,f1|inco16|f2|comp9|f3|inco13|f4|inco14|f5|comp1|f6|inco5|f7|comp10|f8|inco8|f1|inco15|f2|comp2|f3|comp12|f4|inco6|f5|comp11|f6|comp3|f7|inco7|f8|comp4,,47.78919983,-117.0265961,-1
R_4VAtTbqEKiwfJop,Default Response Set,Anonymous,,,108.38.106.188,0,29/02/16 15:30,29/02/16 15:35,1,77142,A55CXM7QR7R0N,1,0,0,70.99,0,1,6,1,4,1,7,1,7,1,4,1,3,1,4,1,5,1,3,1,1,1,4,1,4,1,6,1,4,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,Sentences1,f1|inco13|f2|inco16|f3|inco14|f4|comp9|f5|comp11|f6|inco8|f7|inco15|f8|inco6|f1|comp10|f2|comp2|f3|comp3|f4|comp4|f5|comp12|f6|inco5|f7|inco7|f8|comp1,,34.36610413,-117.3204956,-1
R_cx22ilV5EMLwwHb,Default Response Set,Anonymous,,,96.59.184.6,0,29/02/16 15:28,29/02/16 15:35,1,59157,A11R8G0FYA2UVQ,1,0,0,96.657,0,1,6,1,5,1,6,1,6,1,6,1,2,1,5,1,3,1,6,1,5,1,7,1,7,1,4,1,3,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,Sentences1,f1|comp2|f2|inco14|f3|comp3|f4|inco16|f5|comp9|f6|inco15|f7|inco6|f8|inco7|f1|comp4|f2|comp12|f3|comp11|f4|comp10|f5|inco13|f6|inco8|f7|comp1|f8|inco5,,28.04069519,-81.90429688,-1
R_1YNj4SqbSVXqGcl,Default Response Set,Anonymous,,,73.40.63.240,0,29/02/16 15:35,29/02/16 15:36,1,80688,AY5D9RA8FUZFQ,1,1.001,1.001,1.279,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,5,1,5,1,4,1,5,1,4,1,5,1,5,1,4,1,4,1,4,1,5,1,7,1,4,1,5,1,4,2,22,Sentences2,,f1|comp13|f2|inco3|f3|comp8|f4|comp7|f5|inco1|f6|inco11|f7|inco10|f8|comp6|f1|inco9|f2|comp16|f3|comp5|f4|comp14|f5|comp15|f6|inco2|f7|inco12|f8|inco4,37.54150391,-77.6678009,-1
R_d0bz2IXBzwy55NX,Default Response Set,Anonymous,,,67.163.166.189,0,29/02/16 15:32,29/02/16 15:36,1,37722,ASTDBTVY3WP1K,1,0,0,1.794,0,1,6,1,6,1,7,1,6,1,3,1,2,1,3,1,1,1,6,1,6,1,7,1,7,1,4,1,2,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,Sentences1,f1|inco16|f2|inco13|f3|comp9|f4|inco8|f5|inco5|f6|comp12|f7|comp10|f8|comp4|f1|inco15|f2|inco6|f3|inco14|f4|comp1|f5|comp2|f6|inco7|f7|comp11|f8|comp3,,40.46809387,-79.91139984,-1
R_79T8QEfHsBPHlul,Default Response Set,Anonymous,,,108.69.165.118,0,29/02/16 15:33,29/02/16 15:36,1,67634,A12DBV9FNAOFEM,1,0,0,37.729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,2,1,3,1,7,1,6,1,6,1,6,1,2,1,2,1,5,1,4,1,7,1,7,1,6,1,7,1,31,Sentences2,,f1|inco11|f2|comp7|f3|comp13|f4|comp16|f5|comp15|f6|comp6|f7|inco2|f8|inco4|f1|comp8|f2|comp5|f3|comp14|f4|inco12|f5|inco10|f6|inco9|f7|inco1|f8|inco3,41.75900269,-88.2614975,-1
R_6QLErrMz7TJaut7,Default Response Set,Anonymous,,,72.185.23.235,0,29/02/16 15:32,29/02/16 15:36,1,95209,A1R0689JPSQ3OF,1,0,0,48.333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,3,1,6,1,6,1,6,1,7,1,1,1,3,1,2,1,3,1,6,1,5,1,6,1,4,1,42,Sentences2,,f1|comp5|f2|inco11|f3|comp8|f4|inco3|f5|comp6|f6|comp15|f7|comp14|f8|inco10|f1|inco1|f2|comp13|f3|inco12|f4|comp7|f5|comp16|f6|inco9|f7|inco2|f8|inco4,28.93449402,-82.47229767,-1
R_e3SQevMW2zd44v3,Default Response Set,Anonymous,,,173.19.200.33,0,29/02/16 15:34,29/02/16 15:37,1,58431,AXCMN8J0BBRKD,1,0,0,42.313,0,1,3,1,1,1,3,1,6,1,6,1,2,1,7,1,3,1,4,1,1,1,4,1,7,1,5,1,3,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,Sentences1,f1|comp3|f2|comp12|f3|inco15|f4|inco5|f5|comp1|f6|inco16|f7|comp4|f8|comp10|f1|inco6|f2|inco13|f3|comp9|f4|comp11|f5|inco14|f6|inco7|f7|inco8|f8|comp2,,39.58790588,-88.58129883,-1
R_4NmngbGgKMpMD9b,Default Response Set,Anonymous,,,69.118.239.103,0,29/02/16 15:34,29/02/16 15:38,1,37022,A14MOF84FC52MB,1,24.14,26.679,69.445,3,1,5,1,5,1,4,1,5,1,3,1,3,1,4,1,3,1,4,1,4,1,5,1,5,1,3,1,3,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,Sentences1,f1|comp1|f2|comp3|f3|comp12|f4|inco8|f5|comp4|f6|inco13|f7|comp10|f8|inco5|f1|inco14|f2|inco16|f3|comp11|f4|inco7|f5|comp2|f6|inco15|f7|comp9|f8|inco6,,40.71040344,-74.21109772,-1
